11A	:4!c//3!a	(Qualifier)(CurrencyCode)
11R	3!n 6!n[ 4!n6!n]	(MTNumber)(Date)(SessionNumber)(ISN)
11S	3!n 6!n[ 4!n6!n]	(MTNumber)(Date)(SessionNumber)(ISN)
12	3!n	(MTNumber)
12A	:4!c/[8c]/30x	(Qualifier)(DataSourceScheme)(InstrumentCodeOrDescription)
12B	:4!c/[8c]/30x	(Qualifier)(DataSourceScheme)(InstrumentCodeOrDescription)
12C	:4!c/[8c]/30x	(Qualifier)(DataSourceScheme)(InstrumentCodeOrDescription)
12E	4!c	(ExpirationStyle)
12F	4!c	(OptionStyle)
12G	4!c	(OptionType)
13A	:4!c//3!c	(Qualifier)(NumberId)
13B	:4!c/[8c]/30x	(Qualifier)(DataSourceScheme)(Number)
13C	/8c/4!n1!x4!n	(Code)(Timeindication)(Sign)(Timeoffset)
13D	6!n4!n1!x4!n	(Date)(Time)(Sign)(Offset)
14A	9a	(Convention)
14B	2!c	(Method)
14C	4!n	(Year)
14D	7x	(Code)
14E	35x	(Reference)
14F	24x	(FloatingRateOption)
14G	1!a/8!a	(Frequency)(Method)
14J	5a	(Contents)
14S	5c[/9!y]	(RateSource)(TimeandLocation)
15A		
15B		
15C		
15D		
15E		
15F		
15G		
15H		
15I		
15J		
15K		
15L		
15M		
15N		
16A	5n	(Number)
16C	2n	(Decimal)
16R	16c	(Code)
16S	16c	(Code)
17A	1!a	(Indicator)
17B	:4!c//1!a	(Qualifier)(Flag)
17E	1!a	(Indicator)
17F	1!a	(Indicator)
17G	1!a	(Indicator)
17H	1!a	(Indicator)
17I	1!a	(Indicator)
17L	1!a	(Indicator)
17M	1!a	(Indicator)
17N	1!a	(Indicator)
17O	1!a	(Indicator)
17P	1!a	(Indicator)
17Q	1!a	(Indicator)
17R	1!a	(Indicator)
17S	1!a	(Indicator)
17T	1!a	(Indicator)
17U	1!a	(Indicator)
17V	1!a	(Indicator)
17W	1!a	(Flag)
17X	1!a	(Indicator)
17Y	1!a	(Indicator)
17Z	1!a	(Indicator)
18A	5n	(Number)
18D	3n	(Number)
19	17d	(Amount)
19A	:4!c//[N]3!a15d	(Qualifier)(Sign)(CurrencyCode)(Amount)
19B	:4!c//3!a15d	(Qualifier)(CurrencyCode)(Amount)
20	16x	(Contents)
20C	:4!c//16x	(Qualifier)(Reference)
21	16x	(Contents)
21A	16x	(Contents)
21B	16x	(Contents)
21C	35x	(Contents)
21D	35x	(Contents)
21E	35x	(Contents)
21F	16x	(Contents)
21G	16x	(Contents)
21N	16x	(Contents)
21P	16x	(Contents)
21R	16x	(Contents)
22	8a/6!c4!n6!c	(Function)(SwiftCode)(ReferenceCode)(SwiftCode)
22A	4!c	(Contents)
22B	4!c	(Type)
22C	6!c4!n6!c	(SwiftCode1)(ReferenceCode)(SwiftCode2)
